0.01 0.0729734 0.0729734 2 1 
0.0100063 0.0729747 0.0729747 2 1 
0.0100126 0.0729761 0.0729761 2 1 
0.0100252 0.0729788 0.0729788 2 1 
0.0100505 0.0729841 0.0729841 2 1 
0.0100821 0.0729908 0.0729908 2 1 
0.0101138 0.0729974 0.0729974 2 1 
0.0101455 0.073004 0.073004 2 1 
0.0101772 0.0730106 0.0730106 2 1 
0.010209 0.0730172 0.0730172 2 1 
0.0102409 0.0730237 0.0730237 2 1 
0.0102727 0.0730302 0.0730302 2 1 
0.0103046 0.0730367 0.0730367 2 1 
0.0103366 0.0730431 0.0730431 2 1 
0.0103686 0.0730495 0.0730495 2 1 
0.0104006 0.0730559 0.0730559 2 1 
0.0104326 0.0730623 0.0730623 2 1 
0.0104648 0.0730686 0.0730686 2 1 
0.0104969 0.0730749 0.0730749 2 1 
0.0105291 0.0730812 0.0730812 2 1 
0.0105613 0.0730875 0.0730875 2 1 
0.0105936 0.0730937 0.0730937 2 1 
0.0106259 0.0730999 0.0730999 2 1 
0.0106582 0.0731061 0.0731061 2 1 
0.0106906 0.0731122 0.0731122 2 1 
0.0107231 0.0731183 0.0731183 2 1 
0.0107555 0.0731244 0.0731244 2 1 
0.0107881 0.0731305 0.0731305 2 1 
0.0108206 0.0731366 0.0731366 2 1 
0.0108532 0.0731426 0.0731426 2 1 
0.0108858 0.0731486 0.0731486 2 1 
0.0109185 0.0731546 0.0731546 2 1 
0.0109512 0.0731605 0.0731605 2 1 
0.010984 0.0731664 0.0731664 2 1 
0.0110168 0.0731723 0.0731723 2 1 
0.0110496 0.0731782 0.0731782 2 1 
0.0110825 0.0731841 0.0731841 2 1 
0.0111154 0.0731899 0.0731899 2 1 
0.0111484 0.0731957 0.0731957 2 1 
0.0111814 0.0732015 0.0732015 2 1 
0.0112144 0.0732073 0.0732073 2 1 
0.0112475 0.073213 0.073213 2 1 
0.0112807 0.0732187 0.0732187 2 1 
0.0113138 0.0732244 0.0732244 2 1 
0.011347 0.0732301 0.0732301 2 1 
0.0113803 0.0732357 0.0732357 2 1 
0.0114136 0.0732413 0.0732413 2 1 
0.0114469 0.073247 0.073247 2 1 
0.0114803 0.0732525 0.0732525 2 1 
0.0115137 0.0732581 0.0732581 2 1 
0.0115472 0.0732636 0.0732636 2 1 
0.0115806 0.0732692 0.0732692 2 1 
0.0116142 0.0732747 0.0732747 2 1 
0.0116478 0.0732801 0.0732801 2 1 
0.0116814 0.0732856 0.0732856 2 1 
0.0117151 0.073291 0.073291 2 1 
0.0117488 0.0732964 0.0732964 2 1 
0.0117825 0.0733018 0.0733018 2 1 
0.0118163 0.0733072 0.0733072 2 1 
0.0118501 0.0733126 0.0733126 2 1 
0.011884 0.0733179 0.0733179 2 1 
0.0119179 0.0733232 0.0733232 2 1 
0.0119519 0.0733285 0.0733285 2 1 
0.0119859 0.0733338 0.0733338 2 1 
0.0120199 0.073339 0.073339 2 1 
